source_id,Stromgren_mag_u,Stromgren_mag_v,Stromgren_mag_b,Stromgren_mag_y,Stromgren_flux_u,Stromgren_flux_v,Stromgren_flux_b,Stromgren_flux_y,Stromgren_flux_error_u,Stromgren_flux_error_v,Stromgren_flux_error_b,Stromgren_flux_error_y,StromgrenStd_mag_v,StromgrenStd_mag_b,StromgrenStd_mag_y,StromgrenStd_flux_v,StromgrenStd_flux_b,StromgrenStd_flux_y,StromgrenStd_flux_error_v,StromgrenStd_flux_error_b,StromgrenStd_flux_error_y
1901771150274946816,12.420489406929505,12.706705929987525,11.523381731877077,10.802330280032052,3.4511531901484844e-16,6.09870501916694e-16,1.4120410005938353e-15,1.7269027774048125e-15,1.223768878068212e-17,4.6891766010043925e-18,5.129342060497184e-18,5.106767695400355e-18,12.854428693527378,11.544462272494982,10.827851914040316,6.190824927041025e-16,1.3836144564091762e-15,1.7167190814577503e-15,4.628216739849682e-18,4.877112993627481e-18,5.4534000123143466e-18
272092676488099200,9.195386385811169,10.08328491135578,8.4790922674616,7.2009160898165305,6.729850948798803e-15,6.832915271114115e-15,2.331111747691074e-14,4.7624843776615684e-14,4.645839337048047e-16,2.253006085290229e-16,2.0444687524326325e-16,3.042709617352628e-16,10.147498581209096,8.518066237144339,7.223907379825405,7.490668323198068e-15,2.246847026816237e-14,4.745446134283357e-14,2.6800196159500547e-16,2.0059555136112127e-16,3.1909356005898754e-16
266366832248911744,9.784280889313415,10.070713478676797,9.767872752057077,9.470189582481382,3.912439584501977e-15,6.9124914721435845e-15,7.112968725389518e-15,5.890120328288297e-15,2.9137878747410444e-17,1.9557159665163028e-17,1.3269025744696479e-17,1.1718810257426917e-17,10.220074703039511,9.760664040750669,9.488135589236727,7.006322416609375e-15,7.153760291511484e-15,5.896384071320535e-15,2.00917863859424e-17,1.2745877500319971e-17,1.2610990249280808e-17
979719462269435392,8.686180303935956,8.733757949949418,8.6329722256983,8.537282280273601,1.075691850565977e-14,2.3681915110367818e-14,2.02307093035003e-14,1.3908717552309418e-14,1.9098461765534817e-16,2.15287034250621e-16,8.797812786277828e-17,9.452223350913844e-17,8.875155533583023,8.603128309497542,8.548092218643795,2.4180082960479168e-14,2.0775365650965046e-14,1.401532304812969e-14,2.3620974746392844e-16,9.891251713575853e-17,1.0378615220134454e-16
2083893809634275840,7.165724151909323,7.6483546544496015,7.719709704564803,7.738933633684688,4.3638552773380986e-14,6.435438409208901e-14,4.6915475047100977e-14,2.901526534355789e-14,6.224437074558711e-16,5.220566980905879e-16,1.3665572487139441e-16,1.274105261454716e-16,7.826899392302831,7.68809997792799,7.748661293600975,6.349802874022243e-14,4.8256965472499603e-14,2.926681636314469e-14,5.013060849263496e-16,1.4839113706951806e-16,1.4159837772543078e-16
1977074811892425600,10.149368344220974,10.282886598525184,9.70788385225416,9.136309033686459,2.79519854975235e-15,5.685456755796597e-15,7.517033039503007e-15,8.01080917441416e-15,2.759703057539074e-16,5.524278084777625e-16,3.943090389014794e-16,2.7161289535475175e-16,10.415078597589808,9.718455601007712,9.155128261648876,5.854483157872943e-15,7.43734211951442e-15,8.01288104238122e-15,5.4790166543401745e-16,3.9556042284350966e-16,2.929590198228361e-16
3209639853557281024,5.12556222527413,5.96379193859482,6.146294447166412,6.319178458958909,2.8571636083823306e-13,3.0367093354282747e-13,1.9983990801786817e-13,1.072824335762283e-13,5.091781906297256e-15,4.362365947605038e-15,9.936267428133775e-16,1.5469879498615193e-15,6.152500939785384,6.110701459729132,6.314697821026527,2.9683808700694475e-13,2.063095900575902e-13,1.0963794117510133e-13,4.070232153590128e-15,1.0898710232241845e-15,1.5866508286934865e-15
422570669642787200,10.508260164817777,10.996963090863492,10.684308426039127,10.384541278193147,2.0084264587206148e-15,2.9453354436849053e-15,3.058275669018433e-15,2.537368176792406e-15,5.78778322572161e-17,1.3762446552491786e-17,6.733429976892399e-18,7.360686548189928e-18,11.145662836176616,10.676197509158918,10.40240279628042,2.987135103592139e-15,3.0783712641044316e-15,2.5402641634526395e-15,1.3811046456802955e-17,6.873183593887663e-18,7.984975158702194e-18
3744379224825300608,11.262622330260342,11.546072023987552,10.753098332337704,10.239873526319165,1.0025616036888672e-15,1.7761972380423616e-15,2.8705205945787134e-15,2.8990158477375484e-15,1.7277770388544763e-17,8.063265698834836e-18,8.588772509481936e-18,8.596447822688358e-18,11.700115559358633,10.759333342244787,10.261857026397443,1.792560310002571e-15,2.8514559251697735e-15,2.891326851212081e-15,8.544407093305054e-18,8.333109655604003e-18,9.073767080737557e-18
3185535053982799360,10.217496166553147,10.419645968348267,10.096287551759058,9.826315637274462,2.6251947881876965e-15,5.012583412990715e-15,5.256358518154085e-15,4.2430069690835275e-15,2.3965956027638432e-17,1.625015007108545e-17,1.0738608118653653e-17,9.527633292452965e-18,10.565573088815984,10.088760425449287,9.844366519700351,5.09671987317012e-15,5.288053372156795e-15,4.247108853585348e-15,1.610217111648275e-17,1.064078735635697e-17,1.030213946990442e-17
2850307187170712576,8.233605273307518,8.606718220993006,8.143237504266036,7.775153955128708,1.6319914932940853e-14,2.6621511601507618e-14,3.176179206997281e-14,2.8063279257552643e-14,1.9847872172772138e-16,1.809456315338896e-16,7.687121061262891e-17,7.419190299240986e-17,8.760577592235851,8.141421610403292,7.791582262619329,2.6871317667261496e-14,3.1785668947601946e-14,2.8132420156035263e-14,1.9593473780579214e-16,8.275558484851701e-17,8.056620817316058e-17
4578165727129316096,10.418479760353861,10.710659191925789,10.401805122576466,10.020553940872702,2.1815646909946544e-15,3.834037207911902e-15,3.967143873225048e-15,3.547957620527179e-15,1.087581287733649e-16,2.942477534953918e-16,9.246953667840781e-17,1.3228101687579511e-16,10.866052916084119,10.399408360961822,10.018158791675475,3.8645491363450585e-15,3.972250749128253e-15,3.618899173280295e-15,2.6153396228215025e-16,9.893532418261899e-17,1.397928482979733e-16
2033141521157809536,8.170781439807612,8.50437244091518,7.570639959372418,6.952043503516741,1.729208748520964e-14,2.925304125489757e-14,5.3820040005933904e-14,5.98939007502446e-14,3.208655547182349e-16,1.544626042528848e-16,1.2858147065275412e-16,1.5886220017528522e-16,8.656934536867414,7.593602859772062,6.973440270176674,2.956284220238433e-14,5.2645209233762e-14,5.976733509217941e-14,1.7965458357701482e-16,1.2727181631434811e-16,1.6900577952449447e-16
2790070545721936256,10.998732600825925,11.272406987305455,10.709023230207126,10.284165229371098,1.2784005819539064e-15,2.2853735939656507e-15,2.989445965508094e-15,2.7831326630017793e-15,3.046210634179319e-17,1.593376971203806e-17,1.2961156889186785e-17,1.4872978709260648e-17,11.434087316525325,10.712014655104007,10.298998883250405,2.290261504562476e-15,2.978476226133696e-15,2.7940903583796848e-15,1.6604411694559123e-17,1.2888825972202802e-17,1.5902826033261018e-17
3365612346826710656,9.398809008006154,9.74585036200354,9.521869047262253,9.273487688340182,5.58002823910989e-15,9.323518892838534e-15,8.921797897613722e-15,7.060003635095664e-15,8.720003081579227e-17,5.617881246784795e-17,3.340610079864954e-17,2.9565866801786797e-17,9.906217028221324,9.511613206385562,9.291207824999965,9.354771604237426e-15,8.998180847055063e-15,7.068981905541326e-15,6.16185805796861e-17,3.3268612064170657e-17,3.247469347662472e-17
1652296325615727104,7.810734725636017,8.188768449466632,8.292571786224666,7.967596926936679,2.409162584528919e-14,3.9121240750856356e-14,2.768033140937091e-14,2.3505052698963443e-14,3.845953286469966e-15,5.384384439890541e-15,1.1471035940040633e-15,1.3880281786816743e-15,8.351740221683546,8.250477385377444,7.97112035109371,3.9158307397379236e-14,2.874809331248049e-14,2.384469982409486e-14,5.337546569391195e-15,1.28861247002749e-15,1.4765527527669286e-15
2196555440363174144,6.495843010926976,7.11436990338726,6.714870405569531,6.390767907811821,8.087658326242585e-14,1.0523786738367967e-13,1.183727774320491e-13,1.0043679296897388e-13,3.415148446941233e-15,6.27619738046396e-15,4.05087717356431e-15,6.678416598049117e-15,7.239211374204171,6.720981983469201,6.422740387801319,1.0910268793404155e-13,1.175999688252373e-13,9.9253046245592e-14,7.1012583251436635e-15,4.295643057400013e-15,7.194330963248009e-15
