source_id,Jkc_mag_U,Jkc_mag_B,Jkc_mag_V,Jkc_mag_R,Jkc_mag_I,Jkc_flux_U,Jkc_flux_B,Jkc_flux_V,Jkc_flux_R,Jkc_flux_I,Jkc_flux_error_U,Jkc_flux_error_B,Jkc_flux_error_V,Jkc_flux_error_R,Jkc_flux_error_I,JkcStd_mag_U,JkcStd_mag_B,JkcStd_mag_V,JkcStd_mag_R,JkcStd_mag_I,JkcStd_flux_U,JkcStd_flux_B,JkcStd_flux_V,JkcStd_flux_R,JkcStd_flux_I,JkcStd_flux_error_U,JkcStd_flux_error_B,JkcStd_flux_error_V,JkcStd_flux_error_R,JkcStd_flux_error_I
1973799023147382016,10.200475179904025,10.136505901147405,10.051793513723787,9.999042049067874,9.926918281305234,3.4179832337130813e-15,5.606316857397733e-15,3.476983217896065e-15,2.188684591050149e-15,1.2479370752978442e-15,2.1650005151997344e-17,6.182997342280545e-18,2.5265583289420704e-18,1.6268541324176476e-18,4.513700097337121e-19,10.17090089137429,10.157188134643054,10.06975018495778,10.014060451695368,9.936354219293289,3.909125770435663e-15,5.6069249905187485e-15,3.448735805655026e-15,2.2062555707699386e-15,1.2501965965729917e-15,2.326749026693135e-17,6.096632182337581e-18,2.4666938520129748e-18,1.6639388942484726e-18,4.502982369198103e-19
1979245900676294016,12.18451198715394,12.067580476611067,11.868859678138818,11.710948652617553,11.563325722342277,5.497373000458906e-16,9.467772403741706e-16,6.521929933030957e-16,4.522937004725844e-16,2.764583496130977e-16,4.742979755361578e-18,7.843434303414273e-19,6.026273381903094e-19,4.006727858320598e-19,1.4959833373448605e-19,12.180980433363619,12.085931786008228,11.885008669861367,11.726803280860903,11.572983521440793,6.138295993917426e-16,9.489149427215078e-16,6.479724362659384e-16,4.555737451994627e-16,2.769023180664817e-16,4.827120834398316e-18,8.076825669737618e-19,5.932611125655166e-19,4.0938850507712443e-19,1.493430772441072e-19
2005682283381497472,14.017357898564256,13.271473310391645,11.918163945256254,11.160999769882856,10.501885651502072,1.016288100563291e-16,3.1238536248560435e-16,6.232387127501667e-16,7.505853646735766e-16,7.34861913662473e-16,3.0951603468150574e-18,5.023151822513761e-19,5.211242863204524e-19,4.032765527673358e-19,1.6049242613660418e-19,14.598705473921889,13.277335692129089,11.92116624010379,11.18466893653385,10.513040869036974,6.621521757563848e-17,3.1671287827763975e-16,6.267487896760256e-16,7.506066805226993e-16,7.350276091498823e-16,1.893933468149572e-18,5.2638516349439485e-19,5.130228654034715e-19,4.1229527357522103e-19,1.5993622508220746e-19
2006219669688859776,10.832857565047284,11.37443987995795,10.955130904335086,10.63583971666489,10.283642628357867,1.909048552987451e-15,1.7926852617334185e-15,1.513100024372824e-15,1.2174863852293485e-15,8.984686927331029e-16,1.7912411511772976e-17,4.628595017967891e-18,1.927291228592565e-18,1.9076646451103174e-18,5.369281943201934e-19,10.836582467995738,11.396269143816095,10.969683889125935,10.65457517017494,10.294056624952933,2.117420009403812e-15,1.7909866245968697e-15,1.5055197056890926e-15,1.2230661085327515e-15,8.992850011208015e-16,1.9312602813912732e-17,4.561182944381178e-18,1.917393400153332e-18,1.9475474399770083e-18,5.376960252692334e-19
1958683001704144384,12.013154882604617,12.059918807391316,11.628722965977218,11.361225453392848,11.024700960346294,6.437215479534425e-16,9.534819522951444e-16,8.13637231897762e-16,6.241799565546262e-16,4.540248418978244e-16,1.6544210657498228e-17,6.437081740659699e-18,3.466685037536374e-18,6.356716313695771e-18,8.87175374812358e-19,12.021220167475658,12.07759247345184,11.644128066411245,11.37995911872358,11.034856038613729,7.111348020815442e-16,9.562314220030655e-16,8.089259608287405e-16,6.270415974028213e-16,4.545457322966605e-16,1.801951849604492e-17,6.352959865797655e-18,3.808909913292099e-18,6.4876581205426335e-18,8.924042306242488e-19
1988402392986130688,12.3326331188076,11.691113207458404,10.547727080520858,9.92927601586203,9.386684184399464,4.796304559540969e-16,1.339166932779478e-15,2.2020600997862504e-15,2.333939497371164e-15,2.0525149365117504e-15,1.0117575065012716e-17,1.6672852873800918e-18,1.7844098503688743e-18,1.3340749529338445e-18,4.459740318152223e-19,12.692031074201203,11.698305026478419,10.553853622912822,9.951056030204366,9.397543529926143,3.833783379961467e-16,1.3560571390101824e-15,2.208099049681276e-15,2.338070422388458e-15,2.0535372637741937e-15,7.54025593313195e-18,1.7718210508904942e-18,1.7536190722746816e-18,1.364387236123807e-18,4.4586306998572e-19
1991652274479937792,12.539633973937484,12.441182117211572,11.845149886833319,11.48157692325482,11.134435028477235,3.9637514182235737e-16,6.711307735720419e-16,6.665919202296239e-16,5.5868785515174e-16,4.103798124016528e-16,2.6195643384259276e-18,4.868432010448576e-19,4.310557835100511e-19,3.1102864370617603e-19,1.0495235329981853e-19,12.559449575721235,12.456979577397338,11.856979184904095,11.500218750025663,11.14490953262371,4.3317179394158835e-16,6.742301496668761e-16,6.64918361535698e-16,5.612967143273827e-16,4.107297746985741e-16,2.6514430888307987e-18,5.073101194870012e-19,4.2492179090955003e-19,3.1803218831850563e-19,1.0468013955317658e-19
5163291558766588800,12.013236082921892,12.00658875204994,11.588662030872257,11.33253526183367,11.089258676472802,6.436734069417046e-16,1.0014851158983606e-15,8.442191273000776e-16,6.408935417835305e-16,4.2781551394196525e-16,4.7085453196241685e-18,1.1091951488763224e-18,9.102185808686967e-19,6.431957522172889e-19,1.4586810624256828e-19,12.018146328539553,12.023322065942299,11.602738458145662,11.349725832749005,11.099371555444296,7.131509557638125e-16,1.0052432685999931e-15,8.403585378107019e-16,6.44747500086598e-16,4.2832298238966955e-16,4.896843259046631e-18,1.1197146368080197e-18,8.93057499994587e-19,6.580705906442353e-19,1.4554531745411353e-19
212401633328406912,12.576846453631973,12.027929035987395,10.945488931009706,10.280448023312672,9.766035654686725,3.8301997055010127e-16,9.819929855619205e-16,1.5265970808679686e-15,1.688965547517892e-15,1.4472572643073843e-15,1.4602175463001637e-17,1.8411324005927655e-18,1.5323003753136573e-18,1.1961113140904226e-18,4.523809824066047e-19,12.866054217851458,12.022349894015864,10.950521002280556,10.301699840062081,9.776999544965815,3.2660160366473053e-16,1.0061437699708087e-15,1.532327511804948e-15,1.6927782254587433e-15,1.4478387036441547e-15,1.1490066570818014e-17,1.8955496886571395e-18,1.5107210679108335e-18,1.222479536051521e-18,4.517220062895086e-19
996369435569415808,14.653094023231851,14.24554328746284,13.14156143390069,12.408752142760441,11.79710732598381,5.658774537736242e-17,1.273686908636788e-16,2.0197398134199812e-16,2.3784780228760843e-16,2.2290359333052107e-16,1.3601797763904229e-18,3.0944867542023414e-19,6.389372882280043e-19,1.0098456052804656e-18,3.907775023133004e-19,14.977873338364782,14.25389251314844,13.149089002907463,12.432630371641242,11.80793509320728,4.669718106908623e-17,1.2883770934865713e-16,2.0226670459715211e-16,2.378087616180295e-16,2.2302110471176647e-16,1.0492330361684386e-18,3.3961252412628977e-19,6.72021546909418e-19,1.0293541680239331e-18,3.9452014391531237e-19
