target_oid,wds_id,wds_comp,wsi_sep,target_ra,target_dec,target_mag,designation,source_id,ra,dec,parallax,pmra,pmdec,pm,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,has_xp_continuous,ruwe,phot_variable_flag,non_single_star,target_dm,target_sep
2820,12021+1521,AB,8.094099998474121,180.5278511831476,15.342983190488717,10.609999656677246,Gaia DR3 3925047058491223680,3925047058491223680,180.52645539600167,15.34434536303996,2.8268662654661942,-2.6083025853112107,-43.2849758403144,43.36349,14.067344,,,false,2.065061,NOT_AVAILABLE,0,3.8273439407348633,6.894095269063375
2821,13022+7121,AB,4.0854997634887695,195.54654426807372,71.34585488790464,11.130000114440918,Gaia DR3 1686435268305060480,1686435268305060480,195.54692468052374,71.34472829538741,4.948424325048731,-18.103702164067624,19.786644262162238,26.818935,10.589024,10.881605,10.128123,true,1.19339,NOT_AVAILABLE,0,0.1409759521484375,4.079320735308431
2821,13022+7121,AB,4.0854997634887695,195.54654426807372,71.34585488790464,11.130000114440918,Gaia DR3 1686435268305868544,1686435268305868544,195.54651357447432,71.34586081151585,4.928162634449478,-18.036887949430785,20.227082995253447,27.101,11.010378,11.308994,10.529504,true,0.9343607,NOT_AVAILABLE,0,0.2803783416748047,0.04127810313627984
2822,16255+1944,AB,8.028200149536133,246.37187744004888,19.738984881262837,10.680000305175781,Gaia DR3 1201205599964864256,1201205599964864256,246.37267023389796,19.736882486816498,2.444192960919293,-8.380580061522696,11.516294168798687,14.242864,10.107847,10.616389,9.441662,true,0.92147255,NOT_AVAILABLE,0,0.4721527099609375,8.031227381821912
2822,16255+1944,AB,8.028200149536133,246.37187744004888,19.738984881262837,10.680000305175781,Gaia DR3 1201205599964864896,1201205599964864896,246.37187450473496,19.738964429703955,2.437691219970632,-7.954961959885274,11.730730331432234,14.173618,10.447222,10.699911,10.033566,true,1.0897926,NOT_AVAILABLE,0,0.13277816772460938,0.07429440058408655
2823,16255+1944,AB,7.93720006942749,246.37188384523105,19.73896018392887,10.680000305175781,Gaia DR3 1201205599964864256,1201205599964864256,246.37267023389796,19.736882486816498,2.444192960919293,-8.380580061522696,11.516294168798687,14.242864,10.107847,10.616389,9.441662,true,0.92147255,NOT_AVAILABLE,0,0.4721527099609375,7.940184055067828
2823,16255+1944,AB,7.93720006942749,246.37188384523105,19.73896018392887,10.680000305175781,Gaia DR3 1201205599964864896,1201205599964864896,246.37187450473496,19.738964429703955,2.437691219970632,-7.954961959885274,11.730730331432234,14.173618,10.447222,10.699911,10.033566,true,1.0897926,NOT_AVAILABLE,0,0.13277816772460938,0.03514748235660208
2824,16255+1944,AB,7.9953999519348145,246.37187568387665,19.73897459645284,10.680000305175781,Gaia DR3 1201205599964864256,1201205599964864256,246.37267023389796,19.736882486816498,2.444192960919293,-8.380580061522696,11.516294168798687,14.242864,10.107847,10.616389,9.441662,true,0.92147255,NOT_AVAILABLE,0,0.4721527099609375,7.998345510851712
2824,16255+1944,AB,7.9953999519348145,246.37187568387665,19.73897459645284,10.680000305175781,Gaia DR3 1201205599964864896,1201205599964864896,246.37187450473496,19.738964429703955,2.437691219970632,-7.954961959885274,11.730730331432234,14.173618,10.447222,10.699911,10.033566,true,1.0897926,NOT_AVAILABLE,0,0.13277816772460938,0.0368177342612483
2825,17201+7522,AB,7.865600109100342,260.0243943918523,75.37788683648762,10.470000267028809,Gaia DR3 1656401214840244224,1656401214840244224,260.0188979512049,75.37621669376837,3.864990873687513,4.950511910275401,42.1509942773816,42.440712,9.7607155,9.97147,9.401981,true,0.9769329,NOT_AVAILABLE,0,0.01928424835205078,7.816934538621621
2825,17201+7522,AB,7.865600109100342,260.0243943918523,75.37788683648762,10.470000267028809,Gaia DR3 1656401214840766848,1656401214840766848,260.0243317991592,75.3779089237891,3.822294347746275,4.900016527757077,42.44156529094586,42.72349,10.346326,10.614497,9.890288,true,0.9254193,VARIABLE,0,0.5663261413574219,0.09776651756969489
2826,19480+3206,AB,8.951299667358398,297.0056881790953,32.105461503753205,10.970000267028809,Gaia DR3 2034557039299820544,2034557039299820544,297.00828264069355,32.10430709647234,1.3681232123137441,-4.260982694092725,-11.055832902455029,11.848519,8.440592,9.039895,7.7001595,true,1.4364885,NOT_AVAILABLE,0,0.4594078063964844,8.936832725250218
2826,19480+3206,AB,8.951299667358398,297.0056881790953,32.105461503753205,10.970000267028809,Gaia DR3 2034557039299821312,2034557039299821312,297.00569045003107,32.105452231204936,1.3165875748064964,-4.892712745103946,-9.246117372180754,10.460847,10.693774,10.792043,10.502102,true,1.1976091,NOT_AVAILABLE,0,1.7937746047973633,0.03409193532894498
2827,19570+8319,AB,5.872600078582764,299.27477410226993,83.30859122977033,9.850000381469727,Gaia DR3 2301806225288340096,2301806225288340096,299.2638322963534,83.30757275024843,17.506173077864457,43.746750802556605,-67.68339933464527,80.590454,9.356141,9.755608,8.786116,true,0.89211696,NOT_AVAILABLE,0,0.24385929107666016,5.874806763115178
2827,19570+8319,AB,5.872600078582764,299.27477410226993,83.30859122977033,9.850000381469727,Gaia DR3 2301806225288340224,2301806225288340224,299.2746724680867,83.3086081208361,17.498439361844444,44.37662757829548,-68.75776107366683,81.83468,9.589685,10.017529,8.991427,true,0.96892023,NOT_AVAILABLE,0,0.01031494140625,0.07426433640944854
2828,09001-0706,AB,12.769800186157227,135.01892828168485,-7.090402535377951,9.6899995803833,Gaia DR3 5757290105648883840,5757290105648883840,135.01895490276857,-7.090412713706957,7.095696239487746,-1.7479480666848122,-21.696745318657914,21.76704,9.457884,9.75525,8.994027,true,0.8836782,NOT_AVAILABLE,2,0.5178842544555664,0.10191769753036208
2829,09001-0706,AB,12.899200439453125,135.0189632917972,-7.09039027157998,9.6899995803833,Gaia DR3 5757290105648883840,5757290105648883840,135.01895490276857,-7.090412713706957,7.095696239487746,-1.7479480666848122,-21.696745318657914,21.76704,9.457884,9.75525,8.994027,true,0.8836782,NOT_AVAILABLE,2,0.5178842544555664,0.08617114196735494
2830,00012+1357,AB,11.514599800109863,0.3037091009738003,13.972815285193702,11.119999885559082,Gaia DR3 2767384425386994048,2767384425386994048,0.30370999804672394,13.972781783641963,27.71179805226479,26.55170271324011,149.687732186206,152.02437,10.45141,11.344791,9.516452,false,1.0332841,NOT_AVAILABLE,0,0.2085895538330078,0.1206462962259408
2831,03480+6840,AD,28.786800384521484,57.00054062165272,68.68053114262256,10.569999694824219,Gaia DR3 493650660400098560,493650660400098560,57.00225944767559,68.6824352438941,10.164453490906764,3.1095614618173,-53.27904268970446,53.36971,10.461667,10.819758,9.697173,true,35.775875,NOT_AVAILABLE,0,1.0316667556762695,7.214458059026914
2832,03242+2347,AB,2.6484999656677246,51.027680807896395,23.785205328070003,12.069999694824219,Gaia DR3 62948174562104448,62948174562104448,51.0280437196422,23.784500785206472,48.2704308044265,215.04840612087486,-119.9228962148739,246.22615,9.95505,10.978441,8.914446,false,1.3748872,VARIABLE,0,0.9849491119384766,2.803989356619093
2832,03242+2347,AB,2.6484999656677246,51.027680807896395,23.785205328070003,12.069999694824219,Gaia DR3 62948174562535808,62948174562535808,51.02777097892468,23.785176371433778,48.257606109805764,200.9222649360335,-114.22009490062834,231.11899,10.797814,11.7505865,9.490538,false,0.97596604,NOT_AVAILABLE,0,0.14218521118164062,0.31480470127642446
2833,03242+2347,AB,2.6250998973846436,51.027684453267675,23.785199656343643,12.069999694824219,Gaia DR3 62948174562104448,62948174562104448,51.0280437196422,23.784500785206472,48.2704308044265,215.04840612087486,-119.9228962148739,246.22615,9.95505,10.978441,8.914446,false,1.3748872,VARIABLE,0,0.9849491119384766,2.7804007882365087
2833,03242+2347,AB,2.6250998973846436,51.027684453267675,23.785199656343643,12.069999694824219,Gaia DR3 62948174562535808,62948174562535808,51.02777097892468,23.785176371433778,48.257606109805764,200.9222649360335,-114.22009490062834,231.11899,10.797814,11.7505865,9.490538,false,0.97596604,NOT_AVAILABLE,0,0.14218521118164062,0.29710594830739906
2834,03242+2347,AB,2.6219000816345215,51.02769167236292,23.78520126710762,12.069999694824219,Gaia DR3 62948174562104448,62948174562104448,51.0280437196422,23.784500785206472,48.2704308044265,215.04840612087486,-119.9228962148739,246.22615,9.95505,10.978441,8.914446,false,1.3748872,VARIABLE,0,0.9849491119384766,2.7756287952731236
2834,03242+2347,AB,2.6219000816345215,51.02769167236292,23.78520126710762,12.069999694824219,Gaia DR3 62948174562535808,62948174562535808,51.02777097892468,23.785176371433778,48.257606109805764,200.9222649360335,-114.22009490062834,231.11899,10.797814,11.7505865,9.490538,false,0.97596604,NOT_AVAILABLE,0,0.14218521118164062,0.27619961773392476
2835,06323+5225,AB,0.8217999935150146,98.06967270929005,52.412476600097115,10.5,Gaia DR3 992785646135669504,992785646135669504,98.06936661386668,52.412728997434634,29.868153066521355,78.65210547010469,61.64777067290883,99.93298,9.877644,9.949692,8.36837,false,3.8621016,NOT_AVAILABLE,0,0.5223560333251953,1.130220996890861
2835,06323+5225,AB,0.8217999935150146,98.06967270929005,52.412476600097115,10.5,Gaia DR3 992785646137225600,992785646137225600,98.06953360019489,52.41253075357972,28.9180722934529,99.98480391905457,67.77274145121564,120.78951,10.004121,9.95279,8.370182,false,2.5814452,NOT_AVAILABLE,0,0.39587879180908203,0.36237855080223097
2836,06323+5225,AB,0.8076000213623047,98.06967977814608,52.41248499148059,10.5,Gaia DR3 992785646135669504,992785646135669504,98.06936661386668,52.412728997434634,29.868153066521355,78.65210547010469,61.64777067290883,99.93298,9.877644,9.949692,8.36837,false,3.8621016,NOT_AVAILABLE,0,0.5223560333251953,1.1155815988483315
2836,06323+5225,AB,0.8076000213623047,98.06967977814608,52.41248499148059,10.5,Gaia DR3 992785646137225600,992785646137225600,98.06953360019489,52.41253075357972,28.9180722934529,99.98480391905457,67.77274145121564,120.78951,10.004121,9.95279,8.370182,false,2.5814452,NOT_AVAILABLE,0,0.39587879180908203,0.36079966363256916
2837,04268+1240,AB,0.48179998993873596,66.67862468818836,12.68663990665506,11.489999771118164,Gaia DR3 3307241404807513984,3307241404807513984,66.67894294261355,12.686602239464765,24.242710316892527,115.02430793691477,-16.111389749621004,116.14719,10.6366415,10.670692,8.955488,false,3.5187044,NOT_AVAILABLE,0,0.5533580780029297,1.125939646264763
2837,04268+1240,AB,0.48179998993873596,66.67862468818836,12.68663990665506,11.489999771118164,Gaia DR3 3307241404808622208,3307241404808622208,66.67896319904726,12.686458630812407,24.168615562994564,128.5577148848382,-18.96469076558758,129.949,10.515282,10.67274,8.958176,false,2.79088,NOT_AVAILABLE,0,0.674717903137207,1.3562193411693089
2838,08286+3502,AB,0.6536999940872192,127.0863275910046,35.015063538144425,11.550000190734863,Gaia DR3 903444927988618752,903444927988618752,127.08674703022803,35.01500260289807,,,,,10.641754,10.9405575,8.924277,false,,VARIABLE,0,0.8682460784912109,1.2559823252129796
2838,08286+3502,AB,0.6536999940872192,127.0863275910046,35.015063538144425,11.550000190734863,Gaia DR3 903444931900932480,903444931900932480,127.08680258459258,35.01487517397786,,,,,10.641397,10.938021,8.926228,false,,NOT_AVAILABLE,0,0.8686027526855469,1.556009050748842
2839,07320+1720,AB,11.095600128173828,113.00780398505647,17.319329538403007,13.479999542236328,Gaia DR3 3169256883114489472,3169256883114489472,113.00779130368605,17.319278031560152,34.12826036289387,-222.13700450053068,-173.5446849458791,281.8911,12.451857,13.808316,11.302011,false,1.2235326,NOT_AVAILABLE,0,1.3518562316894531,0.19047776161095503
2839,07320+1720,AB,11.095600128173828,113.00780398505647,17.319329538403007,13.479999542236328,Gaia DR3 3169256887411825408,3169256887411825408,113.00656209305319,17.31906462354431,0.8842254930167728,7.496878259297663,-13.131336135664473,15.120687,15.149903,15.512733,14.552539,false,1.0082226,NOT_AVAILABLE,0,4.04990291595459,4.37336149592684
2840,00037+5329,AB,0.8659999966621399,0.9271663204546013,53.48246861643286,10.359999656677246,Gaia DR3 396210458180775936,396210458180775936,0.9272134852896269,53.48268644501433,1.311040840816329,-2.4742033644073693,-5.859196111938296,6.360178,9.447176,9.208532,9.1034975,true,1.5082468,VARIABLE,0,0.17282390594482422,0.7906652804949617
2840,00037+5329,AB,0.8659999966621399,0.9271663204546013,53.48246861643286,10.359999656677246,Gaia DR3 396210462480063872,396210462480063872,0.927201371083199,53.48245000584964,1.4828187314819608,-2.6837318932302847,-5.271477694637234,5.91531,10.750116,9.2877245,9.102172,false,1.7037135,NOT_AVAILABLE,0,1.1301164627075195,0.10063211778115537
2841,00037+5329,AB,0.8916000127792358,0.9271897042077425,53.48246123242017,10.359999656677246,Gaia DR3 396210458180775936,396210458180775936,0.9272134852896269,53.48268644501433,1.311040840816329,-2.4742033644073693,-5.859196111938296,6.360178,9.447176,9.208532,9.1034975,true,1.5082468,VARIABLE,0,0.17282390594482422,0.8123643339362853
2841,00037+5329,AB,0.8916000127792358,0.9271897042077425,53.48246123242017,10.359999656677246,Gaia DR3 396210462480063872,396210462480063872,0.927201371083199,53.48245000584964,1.4828187314819608,-2.6837318932302847,-5.271477694637234,5.91531,10.750116,9.2877245,9.102172,false,1.7037135,NOT_AVAILABLE,0,1.1301164627075195,0.04751938752197118
2842,00107+5453,AB,19.37660026550293,2.6665299651019536,54.88953287849805,12.109999656677246,Gaia DR3 420596084197762048,420596084197762048,2.666594320460252,54.88955939023154,2.1475930804018497,-3.7814591505794297,-4.4246741677203225,5.8204103,11.518204,11.845323,11.02098,true,0.89852625,NOT_AVAILABLE,0,2.3882036209106445,0.16390593114881236
2843,12349+2238,AB,0.3546000123023987,188.71270541793683,22.629384801859857,6.900000095367432,Gaia DR3 3958719258494268288,3958719258494268288,188.7125201348698,22.629307200604952,9.114760043795982,-58.829913402445975,22.77061709715599,63.08296,4.861961,4.768539,4.741172,false,2.2714634,VARIABLE,0,0.09803915023803711,0.6760849875740178
2844,19206-0740,BC,3.785900115966797,290.1400905815883,-7.663309059342366,12.300000190734863,Gaia DR3 4201781696994082944,4201781696994082944,290.13909487970443,-7.662944466801488,95.1783951524141,-70.59099363530763,-177.97403713224622,191.46239,10.972157,12.369064,9.807171,false,1.1695817,NOT_AVAILABLE,0,0.7278432846069336,3.787228564248492
